Temperature (K)	Pressure (Pa)	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Therm. Cond. (v, W/m*K)"	"Viscosity (v, Pa*s)"
314	101330	1.1241	0.8896	224270	314410	6912.5	718.87	1007.2	355.35	2.04E-06	0.027024	0.000019249
315	101330	1.1205	0.89244	224990	315410	6915.7	718.93	1007.3	355.91	2.02E-06	0.027096	0.000019296
316	101330	1.117	0.89528	225710	316420	6918.9	718.98	1007.3	356.47	2.01E-06	0.027169	0.000019344
317	101330	1.1134	0.89812	226430	317430	6922.1	719.04	1007.4	357.03	2.00E-06	0.027241	0.000019391
318	101330	1.1099	0.90096	227150	318440	6925.2	719.1	1007.4	357.59	1.98E-06	0.027312	0.000019438
319	101330	1.1064	0.9038	227870	319440	6928.4	719.16	1007.5	358.15	1.97E-06	0.027384	0.000019485
320	101330	1.103	0.90664	228580	320450	6931.6	719.22	1007.5	358.71	1.95E-06	0.027456	0.000019532
321	101330	1.0995	0.90948	229300	321460	6934.7	719.28	1007.6	359.26	0.00000194	0.027528	0.000019579
322	101330	1.0961	0.91232	230020	322470	6937.8	719.35	1007.6	359.82	1.93E-06	0.027599	0.000019626
323	101330	1.0927	0.91516	230740	323470	6941	719.41	1007.7	360.37	0.000001913	0.027671	0.000019673
324	101330	1.0893	0.918	231460	324480	6944.1	719.47	1007.7	360.93	1.90E-06	0.027742	0.00001972
325	101330	1.086	0.92083	232180	325490	6947.2	719.54	1007.8	361.48	1.89E-06	0.027814	0.000019767
326	101330	1.0826	0.92367	232900	326500	6950.3	719.6	1007.8	362.03	1.87E-06	0.027885	0.000019813
327	101330	1.0793	0.92651	233630	327500	6953.4	719.67	1007.9	362.58	1.86E-06	0.027956	0.00001986
328	101330	1.076	0.92935	234350	328510	6956.4	719.73	1008	363.13	1.85E-06	0.028027	0.000019906
329	101330	1.0727	0.93219	235070	329520	6959.5	719.8	1008	363.68	1.83E-06	0.028098	0.000019953
