Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
303.02	767420	1188	0.00084178	240900	241540	1142.9	918.73	1445.9	483.83	2.12E-08	0.00018341	0.079046	0.0074335	37.397	0.02674	394240	414760	1714.5	852.33	1064.6	143.19	0.000024601	1.19E-05	0.014323
303.37	774970	1186.6	0.00084273	241380	242030	1144.5	919.21	1447.5	482.24	2.43E-08	0.00018263	0.0789	0.0073887	37.773	0.026474	394410	414920	1714.4	853.43	1067	143.11	0.000024533	1.19E-05	0.014359
303.71	782570	1185.3	0.00084368	241870	242530	1146.1	919.7	1449.1	480.65	2.74E-08	0.00018186	0.078754	0.007344	38.153	0.02621	394580	415090	1714.3	854.53	1069.4	143.03	0.000024465	1.19E-05	0.014394
304.05	790230	1183.9	0.00084464	242350	243020	1147.7	920.19	1450.6	479.07	3.06E-08	0.00018109	0.078608	0.0072993	38.536	0.02595	394750	415250	1714.2	855.64	1071.9	142.95	0.000024398	1.19E-05	0.01443
304.39	797940	1182.6	0.0008456	242840	243510	1149.3	920.68	1452.3	477.48	3.38E-08	0.00018032	0.078463	0.0072547	38.922	0.025692	394920	415420	1714.1	856.74	1074.4	142.86	0.000024331	1.20E-05	0.014466
304.73	805710	1181.2	0.00084656	243330	244010	1150.9	921.17	1453.9	475.89	3.70E-08	0.00017955	0.078317	0.0072102	39.311	0.025438	395080	415580	1714	857.85	1076.9	142.78	0.000024265	1.20E-05	0.014503
305.07	813540	1179.9	0.00084753	243810	244500	1152.5	921.66	1455.5	474.3	4.03E-08	0.00017879	0.078171	0.0071657	39.704	0.025186	395250	415740	1713.8	858.96	1079.4	142.69	0.000024199	1.20E-05	0.014539
305.41	821420	1178.5	0.00084851	244300	245000	1154.1	922.15	1457.2	472.71	4.36E-08	0.00017803	0.078026	0.0071212	40.1	0.024937	395420	415900	1713.7	860.07	1081.9	142.6	0.000024134	1.20E-05	0.014575
305.75	829360	1177.2	0.00084949	244790	245500	1155.7	922.65	1458.8	471.12	4.70E-08	0.00017727	0.07788	0.0070768	40.5	0.024691	395590	416070	1713.6	861.18	1084.4	142.51	0.000024069	1.20E-05	0.014612
306.09	837360	1175.8	0.00085047	245280	245990	1157.3	923.14	1460.5	469.53	5.03E-08	0.00017651	0.077734	0.0070325	40.903	0.024448	395760	416230	1713.5	862.29	1087	142.43	0.000024005	1.20E-05	0.014649
