Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
220.17	17474	1382.9	0.00072314	132490	132510	726.24	843.04	1237.3	880.69	-3.4757E-07	0.00053771	0.10369	0.020542	1.1011	0.90815	330820	346690	1699	670.91	747.82	132.23	0.000047307	7.47E-06	0.0074593
220.51	17842	1382	0.00072359	132920	132930	728.15	843.27	1237.6	879.14	-3.4707E-07	0.00053516	0.10355	0.020487	1.1228	0.89065	331040	346930	1698.6	671.6	748.58	132.31	0.000047126	7.49E-06	0.0074863
220.85	18216	1381.1	0.00072404	133340	133350	730.06	843.5	1238	877.6	-3.4656E-07	0.00053263	0.10341	0.020431	1.1448	0.87355	331260	347170	1698.2	672.3	749.34	132.38	0.000046946	0.000007515	0.0075133
221.19	18596	1380.3	0.0007245	133760	133770	731.96	843.74	1238.3	876.05	-3.4606E-07	0.00053011	0.10327	0.020376	1.1671	0.85684	331480	347410	1697.8	672.99	750.1	132.46	0.000046766	7.54E-06	0.0075403
221.53	18983	1379.4	0.00072495	134180	134190	733.86	843.97	1238.6	874.5	-3.4554E-07	0.00052761	0.10313	0.020321	1.1898	0.84051	331700	347650	1697.4	673.68	750.87	132.53	0.000046588	7.56E-06	0.0075673
221.87	19377	1378.5	0.00072541	134600	134610	735.76	844.21	1239	872.96	-3.4503E-07	0.00052512	0.10299	0.020267	1.2128	0.82455	331920	347890	1697.1	674.38	751.63	132.61	0.00004641	7.58E-06	0.0075943
222.21	19777	1377.7	0.00072586	135020	135030	737.66	844.44	1239.3	871.41	-3.4451E-07	0.00052264	0.10285	0.020212	1.2362	0.80895	332140	348140	1696.7	675.07	752.4	132.68	0.000046233	7.60E-06	0.0076213
222.55	20183	1376.8	0.00072632	135440	135460	739.55	844.68	1239.6	869.87	-3.4399E-07	0.00052017	0.10271	0.020157	1.2599	0.7937	332360	348380	1696.3	675.76	753.16	132.76	0.000046057	7.62E-06	0.0076482
222.89	20597	1375.9	0.00072678	135860	135880	741.44	844.92	1240	868.32	-3.4346E-07	0.00051772	0.10258	0.020102	1.284	0.77879	332580	348620	1695.9	676.45	753.93	132.83	0.000045883	7.64E-06	0.0076752
223.23	21018	1375.1	0.00072724	136280	136300	743.33	845.16	1240.3	866.78	-3.4293E-07	0.00051528	0.10244	0.020047	1.3085	0.76422	332800	348860	1695.5	677.14	754.69	132.91	0.000045709	0.000007666	0.0077022
